Lake;Date;Latitude;Longitude;Start_time;Gear_type;Gear_ID;Fishing_ID;Identifier;Species_ID;Intensity_class;Length;Abundance
Achigan;2022-07-27;45°56.366';73°58.843';17:03;Minnow_trap;N1;ACHI_N_01;NA;NA;NA;NA;0
Achigan;2022-07-27;45°56.628';73°57.542';17:31;Minnow_trap;N2;ACHI_N_02;NA;NA;NA;NA;0
Achigan;2022-07-27;45°56.053';73°57.443';17:23;Minnow_trap;N3;ACHI_N_03;NA;NA;NA;NA;0
Achigan;2022-07-27;45°56.019';73°57.327';17:39;Minnow_trap;N4;ACHI_N_04;NA;NA;NA;NA;0
Achigan;2022-07-27;45°55.575';73°57.085';17:30;Minnow_trap;N5;ACHI_N_05;NA;NA;NA;NA;0
Achigan;2022-07-27;45°56.580';73°58.321';16:28;Minnow_trap;N6;ACHI_N_06;NA;NA;NA;NA;0
Achigan;2022-07-27;45°56.381';73°59.731';16:56;Minnow_trap;N7;ACHI_N_07;NA;NA;NA;NA;0
Achigan;2022-07-27;45°56.147';73°57.996';17:16;Minnow_trap;N9;ACHI_N_09;NA;NA;NA;NA;0
Achigan;2022-07-27;45°56.575';73°59.696';16:44;Minnow_trap;N11;ACHI_N_11;NA;NA;NA;NA;0
Achigan;2022-07-27;45°56.196';73°59.879';16:50;Minnow_trap;N12;ACHI_N_12;NA;NA;NA;NA;0
Achigan;2022-07-27;45°56.378';73°59.640';16:38;Minnow_trap;N13;ACHI_N_13;NA;NA;NA;NA;0
Achigan;2022-07-27;45°56.072';73°58.596';17:10;Minnow_trap;N14;ACHI_N_14;NA;NA;NA;NA;0
Achigan;2022-07-27;45°56.630';73°58.332';16:25;Minnow_trap;N15;ACHI_N_15;NA;NA;NA;NA;0
Achigan;2022-07-27;45°56.656';73°57.670';17:56;Minnow_trap;N16;ACHI_N_16;Juliane;AmRu;0;18;1
Achigan;2022-07-27;45°56.453';73°57.183';17:45;Minnow_trap;N17;ACHI_N_17;NA;NA;NA;NA;0
Achigan;2022-07-27;45°56.322';73°59.776';11:38;Seine;S1;ACHI_S_01;NA;NA;NA;NA;0
Achigan;2022-07-27;45°56.547';73°59.646';12:03;Seine;S1;ACHI_S_02;Lea;MiDo;0;3;4
Achigan;2022-07-27;45°56.547';73°59.646';12:03;Seine;S1;ACHI_S_02;Lea;MiDo;0;4;1
Achigan;2022-07-27;45°56.547';73°59.646';12:03;Seine;S1;ACHI_S_02;Lea;FuDi;0;5;1
Achigan;2022-07-27;45°56.547';73°59.646';12:03;Seine;S1;ACHI_S_02;Lea;FuDi;0;6;1
Achigan;2022-07-27;45°56.431';73°58.292';14:11;Seine;S1;ACHI_S_03;NA;NA;NA;NA;0
Achigan;2022-07-27;45°55.685';73°57.278';14:27;Seine;S1;ACHI_S_04;NA;NA;NA;NA;0
Achigan;2022-07-27;45°55.672';73°57.273';14:38;Seine;S1;ACHI_S_05;Juliane;Centrarchidae;0;1;1
Achigan;2022-07-27;45°56.536';73°57.216';15:07;Seine;S1;ACHI_S_06;Juliane;Centrarchidae;0;2;2
Achigan;2022-07-27;45°56.536';73°57.216';15:07;Seine;S1;ACHI_S_06;Juliane;Centrarchidae;0;1;1
Achigan;2022-07-27;45°56.663';73°57.678';15:27;Seine;S1;ACHI_S_07;Charles;LeGi;1;7;1
Achigan;2022-07-27;45°56.663';73°57.678';15:27;Seine;S1;ACHI_S_07;Charles;LeGi;1;8;1
Achigan;2022-07-27;45°56.663';73°57.678';15:27;Seine;S1;ACHI_S_07;Charles;LeGi;0;5;1
Achigan;2022-07-27;45°56.663';73°57.678';15:27;Seine;S1;ACHI_S_07;Charles;PeFl;0;3;1
Achigan;2022-07-27;45°56.660';73°57.680';15:48;Seine;S1;ACHI_S_08;Juliane;LeGi;0;4;9
Achigan;2022-07-27;45°56.660';73°57.680';15:48;Seine;S1;ACHI_S_08;Juliane;LeGi;1;5;1
Achigan;2022-07-27;45°56.660';73°57.680';15:48;Seine;S1;ACHI_S_08;Juliane;LeGi;1;6;2
Achigan;2022-07-27;45°56.660';73°57.680';15:48;Seine;S1;ACHI_S_08;Juliane;PeFl;0;4;8
Achigan;2022-07-27;45°56.660';73°57.680';15:48;Seine;S1;ACHI_S_08;Juliane;PeFl;0;3;3
Achigan;2022-07-27;45°56.660';73°57.680';15:48;Seine;S1;ACHI_S_08;Juliane;LeGi;0;5;10
Achigan;2022-07-27;45°56.660';73°57.680';15:48;Seine;S1;ACHI_S_08;Juliane;LeGi;0;6;6
Achigan;2022-07-27;45°56.660';73°57.680';15:48;Seine;S1;ACHI_S_08;Juliane;LeGi;1;10;1
Achigan;2022-07-27;45°56.660';73°57.680';15:48;Seine;S1;ACHI_S_08;Juliane;LeGi;1;8;1
Achigan;2022-07-27;45°56.660';73°57.680';15:48;Seine;S1;ACHI_S_08;Juliane;LeGi;0;3;2
Achigan;2022-07-27;45°56.660';73°57.680';15:48;Seine;S1;ACHI_S_08;Juliane;LeGi;1;4;2
Achigan;2022-07-27;45°56.660';73°57.680';15:48;Seine;S1;ACHI_S_08;Juliane;MiDo;0;3;4
Achigan;2022-07-27;45°56.660';73°57.680';15:48;Seine;S1;ACHI_S_08;Juliane;MiDo;0;4;6
Achigan;2022-07-27;45°56.660';73°57.680';15:48;Seine;S1;ACHI_S_08;Juliane;PeFl;0;5;1
Achigan;2022-07-27;45°56.660';73°57.680';15:48;Seine;S1;ACHI_S_08;Juliane;Centrarchidae;0;1;1
Beaver;2022-07-07;45°55.549';74°03.790';14:25;Seine;S1;BEAV_S_01;Juliane;Chrosomus sp.;0;3;14
Beaver;2022-07-07;45°55.549';74°03.790';14:25;Seine;S1;BEAV_S_01;Juliane;Chrosomus sp.;0;5;4
Beaver;2022-07-07;45°55.549';74°03.790';14:25;Seine;S1;BEAV_S_01;Juliane;Chrosomus sp.;0;4;7
Beaver;2022-07-07;45°55.549';74°03.790';14:25;Seine;S1;BEAV_S_01;Juliane;PiNo;0;6;1
Beaver;2022-07-07;45°55.549';74°03.790';14:25;Seine;S1;BEAV_S_01;Juliane;PiPr;0;5;9
Beaver;2022-07-07;45°55.549';74°03.790';14:25;Seine;S1;BEAV_S_01;Juliane;PiPr;1;4;1
Beaver;2022-07-07;45°55.549';74°03.790';14:25;Seine;S1;BEAV_S_01;Juliane;PiPr;0;2;9
Beaver;2022-07-07;45°55.549';74°03.790';14:25;Seine;S1;BEAV_S_01;Juliane;PiPr;0;4;20
Beaver;2022-07-07;45°55.549';74°03.790';14:25;Seine;S1;BEAV_S_01;Juliane;PiPr;0;3;28
Beaver;2022-07-07;45°55.549';74°03.790';14:25;Seine;S1;BEAV_S_01;Juliane;PiNo;0;5;2
Beaver;2022-07-07;45°55.534';74°03.869';15:28;Seine;S1;BEAV_S_02;Juliane;Chrosomus sp.;0;5;19
Beaver;2022-07-07;45°55.534';74°03.869';15:28;Seine;S1;BEAV_S_02;Juliane;Chrosomus sp.;0;4;102
Beaver;2022-07-07;45°55.534';74°03.869';15:28;Seine;S1;BEAV_S_02;Juliane;Chrosomus sp.;0;3;19
Beaver;2022-07-07;45°55.534';74°03.869';15:28;Seine;S1;BEAV_S_02;Juliane;PiPr;0;6;1
Beaver;2022-07-07;45°55.534';74°03.869';15:28;Seine;S1;BEAV_S_02;Juliane;PiPr;0;3;100
Beaver;2022-07-07;45°55.534';74°03.869';15:28;Seine;S1;BEAV_S_02;Juliane;PiPr;0;4;96
Beaver;2022-07-07;45°55.534';74°03.869';15:28;Seine;S1;BEAV_S_02;Juliane;PiPr;0;5;13
Beaver;2022-07-07;45°55.534';74°03.869';15:28;Seine;S1;BEAV_S_02;Juliane;PiPr;1;4;5
Beaver;2022-07-07;45°55.534';74°03.869';15:28;Seine;S1;BEAV_S_02;Juliane;PiPr;1;5;1
Beaver;2022-07-07;45°55.523';74°03.876';19:00;Seine;S1;BEAV_S_03;Charles;Chrosomus sp.;0;3;8
Beaver;2022-07-07;45°55.523';74°03.876';19:00;Seine;S1;BEAV_S_03;Charles;Chrosomus sp.;0;4;46
Beaver;2022-07-07;45°55.523';74°03.876';19:00;Seine;S1;BEAV_S_03;Charles;Chrosomus sp.;0;5;11
Beaver;2022-07-07;45°55.523';74°03.876';19:00;Seine;S1;BEAV_S_03;Charles;PiPr;0;3;107
Beaver;2022-07-07;45°55.523';74°03.876';19:00;Seine;S1;BEAV_S_03;Charles;PiPr;0;4;61
Beaver;2022-07-07;45°55.523';74°03.876';19:00;Seine;S1;BEAV_S_03;Charles;PiPr;0;5;15
Beaver;2022-07-07;45°55.523';74°03.876';19:00;Seine;S1;BEAV_S_03;Charles;Chrosomus sp.;0;6;2
Beaver;2022-07-07;45°55.523';74°03.876';19:00;Seine;S1;BEAV_S_03;Charles;PiPr;1;3;1
Beaver;2022-07-07;45°55.415';74°03.920';19:43;Seine;S1;BEAV_S_04;Charles;Chrosomus sp.;0;5;2
Beaver;2022-07-07;45°55.415';74°03.920';19:43;Seine;S1;BEAV_S_04;Charles;Chrosomus sp.;0;3;1
Beaver;2022-07-07;45°55.415';74°03.920';19:43;Seine;S1;BEAV_S_04;Charles;PiPr;0;3;39
Beaver;2022-07-07;45°55.415';74°03.920';19:43;Seine;S1;BEAV_S_04;Charles;PiPr;0;4;20
Beaver;2022-07-07;45°55.415';74°03.920';19:43;Seine;S1;BEAV_S_04;Charles;PiPr;0;5;6
