Lake;Watershed;Lake_area;Max_depth;Mean_depth;WRT;Drainage_area;Elevation;Perimeter;Connectivity
Achigan;BV_Achigan;5.32;26.5;12.3;1.18;97.06;209;22833.96;1459.406
Beaver;BV_Achigan;0.03696;6.2;1.97;0.85;0.151;360;924;272.174
Coeur;BV_Coeur;0.437;7.6;3.1;1.3;1.736;349;7359.39;999.039
Cornu;BV_Cornu;0.218;15.3;6.3;2.3;1.059;236.8;3532.96;845.637
Corriveau;BV_Achigan;0.057;14.4;6.8;0.06;11.23;324.5;1332.07;959.488
Croche;BV_Achigan;0.179;11.4;4.7;1.4;1.072;358.7;4550.94;452.447
Cromwell;BV_Achigan;0.102;9.8;3.5;0.078;8.136;336.8;1916.93;785.556
Echo;BV_Echo;1.6;9;1.8;0.43;12.02;233;12151.01;809.508
Fournelle;BV_Connelly;0.189;8.4;2.9;0.22;4.39;279.6;3082.17;785.674
Montaubois;BV_Achigan;0.166;32.6;13.7;7.8;0.508;350;2359.59;514.664
Morency;BV_Morency;0.256;20.3;8.8;0.6;2.38;271;2934.61;1131.794
Pin_rouge;BV_Achigan;0.152;14;4.9;0.17;7.56;322;2181.57;511.121
St-Onge;BV_Connelly;0.0144;3.5;1.8;0.05;0.875;216.7;492.06;1580.956
Tracy;BV_Achigan;0.0831;24.5;8.2;1.4;0.881;345.2;1291.53;272.174
Triton;BV_Achigan;0.017;4.3;2.5;0.46;0.163;364;680;452.447
