Species_ID;Species_name;BlacksSpot_Sp;Mention
LeGi;Lepomis gibbosus;Uvulifer ambloplitis;Krull, 1934
LeGi;Lepomis gibbosus;Apophallus brevis;Cone & Anderson, 1977
LeGi;Lepomis gibbosus;Unknown;Steedman, 1991
AmRu;Ambloplites ruspestris;Uvulifer ambloplitis;Berra & Au, 1978
AmRu;Ambloplites ruspestris;Unknown;Steedman, 1991
AmNe;Ameiurus nebulosus;NA;No mention
EsMa;Esox masquinongy;NA;No mention
LuCo;Luxilus cornutus;Unknown;"Steedman, 1991; 
Hoffman, 1956"
Chrosomus spp.;Chrosomus eos x Chrosomus neogaeus;Unknown;Paradis & Chapleau, 1994
PiNo;Pimephales notatus;Uvulifer ambloplitis;Berra & Au, 1978
PiNo;Pimephales notatus;Unknown;"McAllister et al., 2013; 
Steedman, 1991; 
Hockett & Mundahl, 1989"
PiPr;Pimephales promelas;Crassiphiala bulboglossa;"Vaughan & Coble, 1975; 
Wisenden et al., 2012"
PiPr;Pimephales promelas;Uvulifer ambloplitis;Berra & Au, 1978
PiPr;Pimephales promelas;Unknown;Steedman, 1991
RhAt;Rhinichthys atratulus;Uvulifer ambloplitis;Berra & Au, 1978
RhAt;Rhinichthys atratulus;Unknown;Steedman, 1991
SeAt;Semotilus atromaculatus;Uvulifer ambloplitis;Berra & Au, 1978
SeAt;Semotilus atromaculatus;Unknown;"McAllister et al., 2013; 
Sttedman,1991;
Happel, 1991"
SeAt;Semotilus atromaculatus;Crassiphiala bulboglossa;"Krause et al., 1999; 
Hoffman, 1956"
CaCo;Catostomus commersoni;Uvulifer ambloplitis;Berra & Au, 1978
CaCo;Catostomus commersoni;Unknown;Steedman, 1991
UmLi;Umbra limi;Crassiphiala bulboglossa;Hoffman, 1956
FuDi;Fundulus diaphanus;Crassiphiala bulboglossa;Krause et al., 1999
MiDo;Micropterus dolomieui;Uvulifer ambloplites;"Berra & Au, 1978; 
Hunter & Hunter, 1938"
PeFl;Perca flavescens;Crassiphiala bulboglossa;Hoffman, 1956
PeFl;Perca flavescens;Unknown;Vaughan & Coble, 1975
