"","N","inf.A.all","inf.MT.all","inf.S.all","inf.T.all","tot.A.all","tot.MT.all","tot.S.all","tot.T.all","prev.A.all","prev.MT.all","prev.S.all","prev.T.all"
"1",1,0,0,7,75,1,9,9,218,1,1,0.75,0.80952380952381
"2",1,0,4,0,58,8,16,1,9,0.333333333333333,1,0,0.950819672131147
"3",1,1,9,1,75,0,71,29,286,0.571428571428571,0.612903225806452,1,0.0813953488372093
"4",1,0,1,6,58,0,0,59,181,0.866666666666667,0.5,1,0.880733944954128
"5",1,0,4,3,15,8,0,0,89,0,0.571428571428571,1,0.0432276657060519
"6",1,1,2,6,53,1,0,4,286,0.724137931034483,1,1,0.716783216783217
"7",1,6,0,19,2,196,4,4,24,0.880733944954128,1,0.554621848739496,0.125
"8",1,0,0,0,129,0,3,20,0,1,0,0.554621848739496,0.716783216783217
"9",1,0,0,13,15,141,0,20,14,1,0,0.00398406374501992,0.651515151515151
"10",1,3,0,18,1,31,6,5,47,1,1,0.875,0.708333333333333
"11",1,3,8,0,205,169,0,1,551,0.254237288135593,1,0.724137931034483,0.551724137931034
"12",1,30,0,0,0,0,0,1,347,0,1,0.333333333333333,0.735294117647059
"13",1,53,0,0,0,8,8,7,551,0.8,0,0.875,0.645539906103286
"14",1,0,2,10,33,169,3,4,89,1,1,0.00746268656716418,0.654320987654321
"15",1,17,3,13,148,4,0,23,198,0,0,0,0.0813953488372093
"16",1,2,2,1,13,3,13,4,311,0.666666666666667,0.133333333333333,0.866666666666667,0.125
"17",1,0,19,6,35,24,0,0,2,0,0.2,0.736842105263158,0.651515151515151
"18",1,6,0,0,0,1,0,3,561,0.666666666666667,1,0.692307692307692,0
"19",1,3,0,66,35,132,0,23,426,0.80952380952381,0,1,0.263814616755793
"20",1,58,0,5,0,5,2,356,144,1,0.0140845070422535,0.68,0.557377049180328
"21",1,0,0,0,192,218,14,29,286,0.333333333333333,0,0.0408163265306122,0.0714285714285714
"22",1,2,0,0,17,6,1,46,14,0.75,0.00591715976331361,0.12280701754386,0.5
"23",1,6,0,66,266,0,1,15,551,0,0.5,0.666666666666667,0.030952380952381
"24",1,0,0,6,13,0,0,7,61,0.554621848739496,1,0.3,0.333333333333333
"25",1,1,0,1,13,0,14,11,8,0,0,0.554621848739496,0
"26",1,75,0,0,34,119,0,4,551,1,0.4,0,0.557377049180328
