"Lake","Sampling_ID","Date","Site_latitude","Site_longitude","Cloud_cover","Sampling_time","Sampling_method","Gear_ID","Identifier","tot_AmRu","tot_FuDi","tot_MiDo","tot_Centrarchidae","tot_LeGi","tot_PeFl","tot_PiPr","tot_ChrosomusSpp.","tot_PiNo","tot_Cyprinidae","tot_SeAt","tot_LuCo","tot_AmNe","tot_CaCo","tot_EsMa","tot_UmLi","tot_RhAt","inf_AmRu","inf_FuDi","inf_MiDo","inf_Centrarchidae","inf_LeGi","inf_PeFl","inf_PiPr","inf_ChrosomusSpp.","inf_PiNo","inf_Cyprinidae","inf_SeAt","inf_LuCo","inf_AmNe","inf_CaCo","inf_EsMa","inf_UmLi","inf_RhAt","Trunk","Silt","Sand","Rock","Boulder","Macrophyte","Site_depth","Temperature","Conductivity","DO","Turbidity","pH","TOC","TN","TP","Watershed","Lake_latitude","Lake_longitude","Lake_area","Max_depth","Mean_depth","WRT","Drainage_area","Elevation","Perimeter","Connectivity"
"Achigan","ACHI_T_01","2022-08-24",45.93545,-73.9664833333333,50,"11:52","Transect",NA,"Lea_Juliane",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5,74.8,20.2,3.8,118.5,25.2,56.6,8.37,0.06,7.25,4.75,232.49,4.3049,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_T_02","2022-08-24",45.93375,-73.9566333333333,5,"13:14","Transect",NA,"Charles_Lea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,1.5,83.5,11,1.4,79,24.3,55.2,8.55,0.38,7.38,4.67,259.85,6.2188,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_T_03","2022-08-24",45.9339666666667,-73.9557666666667,75,"14:01","Transect",NA,"Juliane_Charles",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,28.7,0,20.8,49.5,6.9,115,24.5,55.7,8.66,0.17,7.56,4.75,299.75,5.8841,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_T_04","2022-08-24",45.9379,-73.9503333333333,50,"14:45","Transect",NA,"Juliane_Charles",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,67,33,0.2,147,24.5,55.6,8.67,0.18,7.38,4.67,238.19,5.4528,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_T_05","2022-08-24",45.9398333333333,-73.9949833333333,1,"10:23","Transect",NA,"Juliane_Lea",0,0,3,0,50,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,43.8,45.6,1.6,36.7,37.5,23.6,56.1,8.78,0.24,6.83,4.78,242.75,6.67,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_T_06","2022-08-24",45.9426833333333,-73.9721333333333,10,"11:07","Transect",NA,"Lea_Juliane",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11.5,72.8,15.7,2.2,66,24.3,55.9,8.6,0.16,6.98,4.83,240.47,4.7597,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_N_14","2022-07-27",45.9345333333333,-73.9766,NA,"17:10","Minnow_trap","N14",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_N_15","2022-07-27",45.9438333333333,-73.9722,NA,"16:25","Minnow_trap","N15",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_N_01","2022-07-27",45.9394333333333,-73.9807166666667,NA,"17:03","Minnow_trap","N1",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_N_02","2022-07-27",45.9438,-73.9590333333333,NA,"17:31","Minnow_trap","N2",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_N_03","2022-07-27",45.9342166666667,-73.9573833333333,NA,"17:23","Minnow_trap","N3",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_N_04","2022-07-27",45.93365,-73.95545,NA,"17:39","Minnow_trap","N4",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_N_05","2022-07-27",45.92625,-73.9514166666667,NA,"17:30","Minnow_trap","N5",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_N_06","2022-07-27",45.943,-73.9720166666667,NA,"16:28","Minnow_trap","N6",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_N_07","2022-07-27",45.9396833333333,-73.9955166666667,NA,"16:56","Minnow_trap","N7",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_N_09","2022-07-27",45.9357833333333,-73.9666,NA,"17:16","Minnow_trap","N9",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_N_11","2022-07-27",45.9429166666667,-73.9949333333333,NA,"16:44","Minnow_trap","N11",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_N_12","2022-07-27",45.9366,-73.9979833333333,NA,"16:50","Minnow_trap","N12",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_N_13","2022-07-27",45.9396333333333,-73.994,NA,"16:38","Minnow_trap","N13",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_S_01","2022-07-27",45.9387,-73.9962666666667,NA,"11:38","Seine","S1",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_S_02","2022-07-27",45.94245,-73.9941,NA,"12:03","Seine","S1","Lea",0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_N_16","2022-07-27",45.9442666666667,-73.9611666666667,NA,"17:56","Minnow_trap","N16","Juliane",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_N_17","2022-07-27",45.9408833333333,-73.95305,NA,"17:45","Minnow_trap","N17",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_S_05","2022-07-27",45.9278666666667,-73.95455,NA,"14:38","Seine","S1","Juliane",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_S_06","2022-07-27",45.9422666666667,-73.9536,NA,"15:07","Seine","S1","Juliane",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_S_03","2022-07-27",45.9405166666667,-73.9715333333333,NA,"14:11","Seine","S1",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_S_04","2022-07-27",45.9280833333333,-73.9546333333333,NA,"14:27","Seine","S1",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_S_07","2022-07-27",45.9443833333333,-73.9613,NA,"15:27","Seine","S1","Charles",0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Achigan","ACHI_S_08","2022-07-27",45.9443333333333,-73.9613333333333,NA,"15:48","Seine","S1","Juliane",0,0,10,1,34,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.9427777777778,-73.9780555555556,5.32,26.5,12.3,1.18,97.06,209,22833.96,1459.406
"Beaver","BEAV_T_01","2022-08-10",45.92595,-74.06425,80,"15:52","Transect",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,26,8.87,1.78,6.6,9.15,487.85,18.4269,"Achigan",45.925,-74.0638888888889,0.03696,6.2,1.97,0.85,0.151,360,924,272.174
"Beaver","BEAV_T_02","2022-08-10",45.9245166666667,-74.0634,75,"16:05","Transect",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7,26,8.82,1.88,6.77,9.17,499.25,19.4058,"Achigan",45.925,-74.0638888888889,0.03696,6.2,1.97,0.85,0.151,360,924,272.174
"Beaver","BEAV_N_01","2022-07-07",45.9256,-74.0643666666667,NA,"16:40","Minnow_trap","N1","Charles",0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.925,-74.0638888888889,0.03696,6.2,1.97,0.85,0.151,360,924,272.174
"Beaver","BEAV_N_02","2022-07-07",45.9240166666667,-74.0643833333333,NA,"16:27","Minnow_trap","N2","Charles",0,0,0,0,0,0,137,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.925,-74.0638888888889,0.03696,6.2,1.97,0.85,0.151,360,924,272.174
"Beaver","BEAV_N_03","2022-07-07",45.92385,-74.0650166666667,NA,"16:29","Minnow_trap","N3","Charles",0,0,0,0,0,0,44,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.925,-74.0638888888889,0.03696,6.2,1.97,0.85,0.151,360,924,272.174
"Beaver","BEAV_N_04","2022-07-07",45.9245833333333,-74.0634666666667,NA,"16:24","Minnow_trap","N4","Charles",0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.925,-74.0638888888889,0.03696,6.2,1.97,0.85,0.151,360,924,272.174
"Beaver","BEAV_N_05","2022-07-07",45.9242333333333,-74.0653166666667,NA,"16:33","Minnow_trap","N5","Charles",0,0,0,0,0,0,33,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.925,-74.0638888888889,0.03696,6.2,1.97,0.85,0.151,360,924,272.174
"Beaver","BEAV_N_06","2022-07-07",45.9243666666667,-74.06385,NA,"16:25","Minnow_trap","N6","Charles",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achigan",45.925,-74.0638888888889,0.03696,6.2,1.97,0.85,0.151,360,924,272.174
