"Fishing_ID","Species_ID","Lake","Date","Latitude","Longitude","Start_time","Gear_type","Gear_ID","Identifier","Abund_inf","Abund_tot"
"ACHI_N_01",NA,"Achigan","2022-07-27","45°56.366'","73°58.843'","17:03","Minnow_trap","N1",NA,0,0
"ACHI_N_02",NA,"Achigan","2022-07-27","45°56.628'","73°57.542'","17:31","Minnow_trap","N2",NA,0,0
"ACHI_N_03",NA,"Achigan","2022-07-27","45°56.053'","73°57.443'","17:23","Minnow_trap","N3",NA,0,0
"ACHI_N_04",NA,"Achigan","2022-07-27","45°56.019'","73°57.327'","17:39","Minnow_trap","N4",NA,0,0
"ACHI_N_05",NA,"Achigan","2022-07-27","45°55.575'","73°57.085'","17:30","Minnow_trap","N5",NA,0,0
"ACHI_N_06",NA,"Achigan","2022-07-27","45°56.580'","73°58.321'","16:28","Minnow_trap","N6",NA,0,0
"ACHI_N_07",NA,"Achigan","2022-07-27","45°56.381'","73°59.731'","16:56","Minnow_trap","N7",NA,0,0
"ACHI_N_09",NA,"Achigan","2022-07-27","45°56.147'","73°57.996'","17:16","Minnow_trap","N9",NA,0,0
"ACHI_N_11",NA,"Achigan","2022-07-27","45°56.575'","73°59.696'","16:44","Minnow_trap","N11",NA,0,0
"ACHI_N_12",NA,"Achigan","2022-07-27","45°56.196'","73°59.879'","16:50","Minnow_trap","N12",NA,0,0
"ACHI_N_13",NA,"Achigan","2022-07-27","45°56.378'","73°59.640'","16:38","Minnow_trap","N13",NA,0,0
"ACHI_N_14",NA,"Achigan","2022-07-27","45°56.072'","73°58.596'","17:10","Minnow_trap","N14",NA,0,0
"ACHI_N_15",NA,"Achigan","2022-07-27","45°56.630'","73°58.332'","16:25","Minnow_trap","N15",NA,0,0
"ACHI_N_16","AmRu","Achigan","2022-07-27","45°56.656'","73°57.670'","17:56","Minnow_trap","N16","Juliane",0,1
"ACHI_N_17",NA,"Achigan","2022-07-27","45°56.453'","73°57.183'","17:45","Minnow_trap","N17",NA,0,0
"ACHI_S_01",NA,"Achigan","2022-07-27","45°56.322'","73°59.776'","11:38","Seine","S1",NA,0,0
"ACHI_S_02","FuDi","Achigan","2022-07-27","45°56.547'","73°59.646'","12:03","Seine","S1","Lea",0,2
"ACHI_S_02","MiDo","Achigan","2022-07-27","45°56.547'","73°59.646'","12:03","Seine","S1","Lea",0,5
"ACHI_S_03",NA,"Achigan","2022-07-27","45°56.431'","73°58.292'","14:11","Seine","S1",NA,0,0
"ACHI_S_04",NA,"Achigan","2022-07-27","45°55.685'","73°57.278'","14:27","Seine","S1",NA,0,0
"ACHI_S_05","Centrarchidae","Achigan","2022-07-27","45°55.672'","73°57.273'","14:38","Seine","S1","Juliane",0,1
"ACHI_S_06","Centrarchidae","Achigan","2022-07-27","45°56.536'","73°57.216'","15:07","Seine","S1","Juliane",0,3
"ACHI_S_07","LeGi","Achigan","2022-07-27","45°56.663'","73°57.678'","15:27","Seine","S1","Charles",2,3
