"Method","Metric","Achigan","Beaver","Coeur","Cornu","Corriveau","Croche","Cromwell","Echo","Fournelle","Montaubois","Morency","Pin_rouge","St-Onge","Tracy","Triton"
"Combined","Species richness",5,3,3,4,6,5,6,8,5,3,3,4,2,1,2
"Combined","Diversity",0.571505728945642,0.40034531145643,0.567531431788328,0.170543758573388,0.641564132919974,0.471297857567943,0.604477495352216,0.608529067141985,0.410431988558022,0.13330688355485,0.0762223100003191,0.312534525507123,0.13265306122449,0,0.027232161961338
"Combined","Evenness",0.61491228340753,0.545393663611976,0.870857210184712,0.246009516378381,0.613781409093251,0.49838485047397,0.653197240184995,0.542659954290094,0.435634756263161,0.275006693884148,0.162390648395476,0.441126196776337,0.371232326640876,NA,0.105085276677016
"Minnow_trap","Species richness",1,2,3,3,5,4,3,4,2,2,1,3,2,1,2
"Minnow_trap","Diversity",0,0.375,0.556213017751479,0.473372781065089,0.561675136410743,0.253446999808119,0.435727788279773,0.306036139946175,0.486111111111111,0.104938271604938,0,0.1789802289282,0.21875,0,0.189164201183432
"Minnow_trap","Evenness",NA,0.811278124459133,0.81751953118667,0.755969902989267,0.596421461917725,0.38728855535951,0.630629837585218,0.44418221254423,0.979868756651153,0.309543429150325,NA,0.34546757713881,0.543564443199596,NA,0.487021283159773
"Seine","Species richness",5,4,4,3,5,4,5,8,5,3,4,4,3,1,3
"Seine","Diversity",0.606371129427489,0.429549026072375,0.490925925925926,0.13265306122449,0.20255872037411,0.319259259259259,0.613001470279353,0.410309527348395,0.314792899408284,0.156734693877551,0.372696683223842,0.210059171597633,0.0950000000000001,1,0.0935232464391293
"Seine","Evenness",0.674742416022016,0.461153068668302,0.523790400859962,0.234221520365286,0.267507403421466,0.423910386308863,0.645116145951067,0.355266820632042,0.379954777624989,0.266252682124115,0.484230029774583,0.31095207081456,0.180696361576785,NA,0.178493051318987
"Transect","Species richness",4,NA,4,5,3,3,4,6,5,NA,4,5,NA,NA,3
"Transect","Diversity",0.63087207350203,NA,0.52744291311543,0.544438600336036,0.279972551710617,0.490099143031303,0.532273114527973,0.587264138925549,0.416686718759894,NA,0.340675827944346,0.338446554662771,NA,NA,0.00235017301038076
"Transect","Evenness",0.755579914864783,NA,0.613783233564026,0.537053305659002,0.412527034758763,0.621887624404689,0.608441074982698,0.610956767465272,0.436217629650035,NA,0.425866251648039,0.39934571810731,NA,NA,0.00829350858807001
