"Lake","Transect_ID","Watershed","inf_fish","tot_fish","prev_fish","Sub1","Sub2","Macrophyte","MeanDepth.site","Trunk","Temp.T","Temp.L","Cond.T","Cond.L","DO.T","DO.L","Turb.T","Turb.L","pH.T","pH.L","TOC.T","TN_TP.T","TOC.L","TN_TP.L","TN.T","TN.L","TP.T","TP.L","Lake_area","Perimeter","Area_Perimeter","MeanDepth.lake","Max_depth","WRT","Drainage_area","Elevation","Connectivity","Centrarchids.T","Centrarchids.L","Species_richness.T","Species_richness.L","Diversity.T","Diversity.L","ShorelineComplx"
"Achigan","ACHI1","Achigan",0,9,0,-5.126102619286,1.77456985958929,3.8,118.5,15,25.2,24.4,56.6,55.85,8.37,8.605,0.06,0.198333333333333,7.25,7.23,4.75,54.0059002531998,4.74166666666667,45.4636936284744,232.49,252.25,4.3049,5.54838333333333,5.32,22833.96,232.986306361227,12.3,26.5,1.18,97.06,209,1459.406,9,93,1,3,0,0.63087207350203,9.89977717985749
"Achigan","ACHI3","Achigan",1,8,0.125,-1.9630867058224,-6.31988332857978,6.9,115,26,24.5,24.4,55.7,55.85,8.66,8.605,0.17,0.198333333333333,7.56,7.23,4.75,50.9423701160755,4.74166666666667,45.4636936284744,299.75,252.25,5.8841,5.54838333333333,5.32,22833.96,232.986306361227,12.3,26.5,1.18,97.06,209,1459.406,8,93,1,3,0,0.63087207350203,9.89977717985749
"Achigan","ACHI4","Achigan",1,14,0.0714285714285714,-4.94950317789495,-0.900849813194277,0.2,147,9,24.5,24.4,55.6,55.85,8.67,8.605,0.18,0.198333333333333,7.38,7.23,4.67,43.6821449530516,4.74166666666667,45.4636936284744,238.19,252.25,5.4528,5.54838333333333,5.32,22833.96,232.986306361227,12.3,26.5,1.18,97.06,209,1459.406,14,93,1,3,0,0.63087207350203,9.89977717985749
"Achigan","ACHI5","Achigan",0,141,0,-3.57800751487782,3.24019893619076,36.7,37.5,1,23.6,24.4,56.1,55.85,8.78,8.605,0.24,0.198333333333333,6.83,7.23,4.78,36.3943028485757,4.74166666666667,45.4636936284744,242.75,252.25,6.67,5.54838333333333,5.32,22833.96,232.986306361227,12.3,26.5,1.18,97.06,209,1459.406,53,93,3,3,0.484281474774911,0.63087207350203,9.89977717985749
"Achigan","ACHI6","Achigan",3,9,0.333333333333333,-5.03537490400829,2.42091743681555,2.2,66,12,24.3,24.4,55.9,55.85,8.6,8.605,0.16,0.198333333333333,6.98,7.23,4.83,50.5220917284703,4.74166666666667,45.4636936284744,240.47,252.25,4.7597,5.54838333333333,5.32,22833.96,232.986306361227,12.3,26.5,1.18,97.06,209,1459.406,9,93,1,3,0,0.63087207350203,9.89977717985749
"Coeur","COEU1","Coeur",72,122,0.59016393442623,-1.2743585570882,-2.30868835836707,2.3,187.5,80,23.6,23.175,53.8,53.475,8.37,8.3175,0.29,0.275,7.38,7.135,5.75,43.9168673437336,5.655,45.3150109766935,419.45,365.87,9.551,8.073925,0.437,7359.39,59.3799214337058,3.1,7.6,1.3,1.736,349,999.039,122,367,2,3,0.495162590701424,0.52744291311543,11.1327152222586
"Coeur","COEU2","Coeur",75,102,0.735294117647059,-1.73304826974408,-2.95213303345385,22,62.5,16,23.3,23.175,53.5,53.475,8.38,8.3175,0.33,0.275,7.25,7.135,5.63,43.7984771093454,5.655,45.3150109766935,370.43,365.87,8.4576,8.073925,0.437,7359.39,59.3799214337058,3.1,7.6,1.3,1.736,349,999.039,84,367,3,3,0.468089196462899,0.52744291311543,11.1327152222586
"Coeur","COEU3","Coeur",58,86,0.674418604651163,-1.64687527272573,-5.59336210063436,9,80,9,23,23.175,53.4,53.475,8.26,8.3175,0.2,0.275,7.13,7.135,5.6,45.2378029652059,5.655,45.3150109766935,331.67,365.87,7.3317,8.073925,0.437,7359.39,59.3799214337058,3.1,7.6,1.3,1.736,349,999.039,83,367,3,3,0.513520822065982,0.52744291311543,11.1327152222586
"Coeur","COEU4","Coeur",53,81,0.654320987654321,-0.111056497887698,-2.47304644364905,10.6,108,79,22.8,23.175,53.2,53.475,8.26,8.3175,0.28,0.275,6.78,7.135,5.64,49.1603646087932,5.655,45.3150109766935,341.93,365.87,6.9554,8.073925,0.437,7359.39,59.3799214337058,3.1,7.6,1.3,1.736,349,999.039,78,367,3,3,0.532235939643347,0.52744291311543,11.1327152222586
"Cornu","CORN1","Cornu",68,122,0.557377049180328,0.588229613843504,-5.04088743084549,0,370,380,22.6,22.575,147.8,149.375,8.69,8.4725,0.74,0.655,7.33,7.145,3.97,46.9916817359855,4.05,36.2393813691661,324.83,337.655,6.9125,9.31735,0.218,3532.96,61.7046329423486,6.3,15.3,2.3,1.059,236.8,845.637,101,645,4,4,0.6126041386724,0.544438600336036,7.5667689593646
"Cornu","CORN2","Cornu",275,426,0.645539906103286,2.94141555764461,1.62389859754223,25,39.5,45,22.5,22.575,149.6,149.375,8,8.4725,0.41,0.655,6.87,7.145,4.05,38.4068707795188,4.05,36.2393813691661,292.91,337.655,7.6265,9.31735,0.218,3532.96,61.7046329423486,6.3,15.3,2.3,1.059,236.8,845.637,295,645,3,4,0.44500650223721,0.544438600336036,7.5667689593646
"Cornu","CORN3","Cornu",148,561,0.263814616755793,2.78221334885567,1.15192746905604,75.5,44.5,11,22.6,22.575,152.3,149.375,8.1,8.4725,1.34,0.655,6.77,7.145,4.05,26.8246621790791,4.05,36.2393813691661,374.99,337.655,13.9793,9.31735,0.218,3532.96,61.7046329423486,6.3,15.3,2.3,1.059,236.8,845.637,188,645,4,4,0.460579370299408,0.544438600336036,7.5667689593646
"Cornu","CORN4","Cornu",58,61,0.950819672131147,-3.8077573940274,2.01676230209442,14.9,45,18,22.6,22.575,147.8,149.375,9.1,8.4725,0.13,0.655,7.61,7.145,4.13,40.8965730022511,4.05,36.2393813691661,357.89,337.655,8.7511,9.31735,0.218,3532.96,61.7046329423486,6.3,15.3,2.3,1.059,236.8,845.637,61,645,2,4,0.0322493953238376,0.544438600336036,7.5667689593646
"Corriveau","CORR1","Achigan",29,388,0.0747422680412371,1.19432210518508,0.805082647696799,35,107,108,20.3,20.65,19.1,19.1,8.06,8.165,0.49,0.44,5.76,5.93,8.42,32.0934075630926,8.335,28.995218803606,400.07,397.22,12.4658,13.6995,0.057,1332.07,42.7905440404784,6.8,14.4,0.06,11.23,324.5,959.488,51,136,2,2,0.228331916250399,0.279972551710617,5.57942725618119
"Corriveau","CORR2","Achigan",13,420,0.030952380952381,0.0574975333314134,-2.2647211219566,27.5,89.5,33,21,20.65,19.1,19.1,8.27,8.165,0.39,0.44,6.1,5.93,8.25,26.4089411512603,8.335,28.995218803606,394.37,397.22,14.9332,13.6995,0.057,1332.07,42.7905440404784,6.8,14.4,0.06,11.23,324.5,959.488,85,136,2,2,0.322845804988662,0.279972551710617,5.57942725618119
"Croche","CROC1","Achigan",15,347,0.0432276657060519,2.94141555764461,1.62389859754223,39.5,73.5,52,21.3,21.6,14.2,14.2333333333333,7.84,7.91666666666667,0.38,0.27,6.09,6.01,6.36,47.0130383805851,6.01666666666667,37.2721159749573,332.81,297.47,7.0791,7.98103333333333,0.179,4550.94,39.3325334985739,4.7,11.4,1.4,1.072,358.7,452.447,116,287,2,2,0.445083008745193,0.490099143031303,10.7565894793292
"Croche","CROC4","Achigan",35,251,0.139442231075697,2.7619520800002,1.40333374656214,10.1,97,171,21.9,21.6,14.3,14.2333333333333,8.2,7.91666666666667,0.19,0.27,5.89,6.01,5.39,32.3925481873131,6.01666666666667,37.2721159749573,260.99,297.47,8.0571,7.98103333333333,0.179,4550.94,39.3325334985739,4.7,11.4,1.4,1.072,358.7,452.447,124,287,2,2,0.49992857256234,0.490099143031303,10.7565894793292
"Croche","CROC6","Achigan",16,70,0.228571428571429,-1.30081767111507,3.46500518059134,3.3,94,73,21.6,21.6,14.2,14.2333333333333,7.71,7.91666666666667,0.24,0.27,6.05,6.01,6.3,33.9063688698634,6.01666666666667,37.2721159749573,298.61,297.47,8.8069,7.98103333333333,0.179,4550.94,39.3325334985739,4.7,11.4,1.4,1.072,358.7,452.447,47,287,2,2,0.441224489795918,0.490099143031303,10.7565894793292
"Cromwell","CROM2","Achigan",17,21,0.80952380952381,1.42706851984285,-2.52391185823834,56,76,79,19.7,19.7,19.2,19.4666666666667,6.66,5.55666666666667,0.91,0.653333333333333,5.72,5.79,7.87,33.1308731529124,7.75,31.85451791224,381.83,361.69,11.5249,11.3544333333333,0.102,1916.93,53.2100807019557,3.5,9.8,0.078,8.136,336.8,785.556,21,69,2,3,0.090702947845805,0.532273114527973,6.00214065154928
"Cromwell","CROM3","Achigan",2,89,0.0224719101123595,0.796316583212724,-0.374845173518682,61.5,84.5,27,19.6,19.7,19.6,19.4666666666667,4.56,5.55666666666667,0.56,0.653333333333333,5.76,5.79,7.57,28.9222154554067,7.75,31.85451791224,341.93,361.69,11.8224,11.3544333333333,0.102,1916.93,53.2100807019557,3.5,9.8,0.078,8.136,336.8,785.556,10,69,3,3,0.204772124731726,0.532273114527973,6.00214065154928
"Cromwell","CROM4","Achigan",17,47,0.361702127659574,2.16382334799643,1.12519009743099,69,117,53,19.8,19.7,19.6,19.4666666666667,5.45,5.55666666666667,0.49,0.653333333333333,5.89,5.79,7.81,33.7168719671519,7.75,31.85451791224,361.31,361.69,10.716,11.3544333333333,0.102,1916.93,53.2100807019557,3.5,9.8,0.078,8.136,336.8,785.556,38,69,3,3,0.432775011317338,0.532273114527973,6.00214065154928
"Echo","ECHO1","Echo",67,181,0.370165745856354,1.9923748154545,0.616913497522781,53.5,50.5,45,23.5,23.96,174.3,166.22,9.84,9.914,1.8,2.104,8,8.106,5.58,36.563650944517,5.674,34.0148988801992,492.41,527.75,13.4672,15.51526,1.6,12151.01,131.676296867503,1.8,9,0.43,12.02,233,809.508,70,164,5,5,0.636427459479259,0.587264138925549,9.60621686787064
"Echo","ECHO2","Echo",4,8,0.5,0.300509281437277,0.0478850844480137,49,39.5,27,25,23.96,171,166.22,10.07,9.914,3.5,2.104,8.17,8.106,5.75,32.2594675003782,5.674,34.0148988801992,511.79,527.75,15.8648,15.51526,1.6,12151.01,131.676296867503,1.8,9,0.43,12.02,233,809.508,5,164,3,5,0.65625,0.587264138925549,9.60621686787064
"Echo","ECHO3","Echo",7,86,0.0813953488372093,-5.3485052234428,5.52342326075019,1.1,41.3,21,23.4,23.96,159.9,166.22,9.77,9.914,1.54,2.104,8.15,8.106,5.65,33.0060897781898,5.674,34.0148988801992,519.77,527.75,15.7477,15.51526,1.6,12151.01,131.676296867503,1.8,9,0.43,12.02,233,809.508,17,164,3,5,0.335045970795024,0.587264138925549,9.60621686787064
"Echo","ECHO4","Echo",17,24,0.708333333333333,0.896128689246813,1.6341587347946,11.5,51,17,23.3,23.96,159.6,166.22,9.71,9.914,2.12,2.104,7.96,8.106,5.72,30.6771632392671,5.674,34.0148988801992,593.87,527.75,19.3587,15.51526,1.6,12151.01,131.676296867503,1.8,9,0.43,12.02,233,809.508,23,164,4,5,0.520833333333333,0.587264138925549,9.60621686787064
"Echo","ECHO5","Echo",30,144,0.208333333333333,1.7770186422812,0.352235676346665,58.5,52,10,24.6,23.96,166.3,166.22,10.18,9.914,1.56,2.104,8.25,8.106,5.67,39.6494112453284,5.674,34.0148988801992,520.91,527.75,13.1379,15.51526,1.6,12151.01,131.676296867503,1.8,9,0.43,12.02,233,809.508,49,164,5,5,0.483699845679012,0.587264138925549,9.60621686787064
"Fournelle","FOUR1","Connelly",34,78,0.435897435897436,2.67244424727728,1.76092441588627,31.5,82,41,24.9,24.6666666666667,62.5,61.3,8.44,8.72,0.76,1.22333333333333,6.68,7.22333333333333,5.41,34.4177248794301,5.4,35.3508919085165,311.15,316.09,9.0404,8.9415,0.189,3082.17,61.3204333310622,2.9,8.4,0.22,4.39,279.6,785.674,78,561,2,4,0.491781722550953,0.416686718759894,7.08966455012741
"Fournelle","FOUR2","Connelly",129,198,0.651515151515151,2.63011045718752,1.09826599828769,9.6,125.5,26,24.5,24.6666666666667,60.7,61.3,8.94,8.72,1.58,1.22333333333333,7.38,7.22333333333333,5.42,31.8723358805309,5.4,35.3508919085165,328.25,316.09,10.2989,8.9415,0.189,3082.17,61.3204333310622,2.9,8.4,0.22,4.39,279.6,785.674,198,561,3,4,0.45684113865932,0.416686718759894,7.08966455012741
"Fournelle","FOUR3","Connelly",205,286,0.716783216783217,2.94141555764461,1.62389859754223,8.5,61.5,57,24.6,24.6666666666667,60.7,61.3,8.78,8.72,1.33,1.22333333333333,7.61,7.22333333333333,5.37,41.2640944797734,5.4,35.3508919085165,308.87,316.09,7.4852,8.9415,0.189,3082.17,61.3204333310622,2.9,8.4,0.22,4.39,279.6,785.674,285,561,4,4,0.298767665900533,0.416686718759894,7.08966455012741
