"Lake","Transect_ID","Date","Latitude","Longitude","Cloud_cover","Start_time","Identifier","LeGi_I","LeGi_H","Cyp_I","Cyp_H","PeFl_I","PeFl_H","MiDo_I","MiDo_H","AmRu_I","AmRu_H","silt","sand","rock","block","macrophyte","depth","trunk","temperature","conductivity","oxygen","turbidity","potH","carbon","nitrogen","phosphorus"
"Achigan","ACHI1","24/08/2022","45°56.127","73°57.989",50,"11:52","Lea_Juliane",0,0,0,0,0,0,0,9,0,0,0,5,74.8,20.2,3.8,118.5,15,25.2,56.6,8.37,0.06,7.25,4.75,232.49,4.3049
"Achigan","ACHI2","24/08/2022","45°56.025","73°57.398",5,"13:14","Charles_Lea",0,0,0,0,0,0,0,0,0,0,4,1.5,83.5,11,1.4,79,13,24.3,55.2,8.55,0.38,7.38,4.67,259.85,6.2188
"Achigan","ACHI3","24/08/2022","45°56.038","73°57.346",75,"14:01","Juliane_Charles",0,0,0,0,0,0,1,7,0,0,28.7,0,20.8,49.5,6.9,115,26,24.5,55.7,8.66,0.17,7.56,4.75,299.75,5.8841
"Achigan","ACHI4","24/08/2022","45°56.274","73°57.020",50,"14:45","Juliane_Charles",0,0,0,0,0,0,1,13,0,0,0,0,67,33,0.2,147,9,24.5,55.6,8.67,0.18,7.38,4.67,238.19,5.4528
"Achigan","ACHI5","24/08/2022","45°56.390","73°59.699",1,"10:23","Juliane_Lea",0,50,0,88,0,0,0,3,0,0,9,43.8,45.6,1.6,36.7,37.5,1,23.6,56.1,8.78,0.24,6.83,4.78,242.75,6.67
"Achigan","ACHI6","24/08/2022","45°56.561","73°58.328",10,"11:07","Lea_Juliane",0,0,0,0,0,0,3,6,0,0,0,11.5,72.8,15.7,2.2,66,12,24.3,55.9,8.6,0.16,6.98,4.83,240.47,4.7597
"Beaver","BEAV1","10/08/2022","45°55.557","74°03.855",80,"15:52","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,26,8.87,1.78,6.6,9.15,487.85,18.4269
"Beaver","BEAV2","10/08/2022","45°55.471","74°03.804",75,"16:05","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7,26,8.82,1.88,6.77,9.17,499.25,19.4058
"Coeur","COEU1","25/08/2022","45°58.278","74°00.493",60,"11:26","Juliane_Charles",53,14,0,0,0,0,19,36,0,0,43,0,27.5,29.5,2.3,187.5,80,23.6,53.8,8.37,0.29,7.38,5.75,419.45,9.551
"Coeur","COEU2","25/08/2022","45°58.220","74°00.526",30,"10:53","Charles_Juliane",66,5,0,0,7,11,2,11,0,0,36.5,0,29.8,33.7,22,62.5,16,23.3,53.5,8.38,0.33,7.25,5.63,370.43,8.4576
