"","Lake","Minnow_Trap","Senne","Transect","Minnow_Trap+Senne","All"
"1","Achigan",NA,0.243243243243243,0,0.243243243243243,0.103448275862069
"2","Beaver",NA,NA,NA,NA,NA
"3","Cornu",0.777777777777778,0.923076923076923,0.889830508474576,0.863636363636364,0.888888888888889
"4","Corriveau",0.935185185185185,0.933333333333333,0.308823529411765,0.934782608695652,0.624087591240876
"5","Croche",0.823529411764706,0.410958904109589,0.229965156794425,0.488888888888889,0.291777188328912
"6","Cromwell",1,0.895833333333333,0.590163934426229,0.9375,0.787234042553192
"7","Echo",0.666666666666667,0.745283018867924,0.590909090909091,0.722972972972973,0.660714285714286
"8","Fournelle",1,0.943396226415094,0.783783783783784,0.95,0.805139186295503
"9","Montaubois",NA,NA,NA,NA,NA
"10","Morency",0.942307692307692,0.819672131147541,0.732217573221757,0.896969696969697,0.752205882352941
"11","Pin_rouge",0.857142857142857,0.91304347826087,0.72316384180791,0.882352941176471,0.758771929824561
"12","St-Onge",NA,NA,NA,NA,NA
"13","Tracy",NA,NA,NA,NA,NA
"14","Triton",0,0,0,0,0
