"Site","Centrarchids","Species_Richness","Evenness"
"ACHI_N_16",1,1,NA
"ACHI_S_02",5,2,0.863120568566631
"ACHI_S_05",0,0,0
"ACHI_S_06",0,0,0
"ACHI_S_07",0,2,0.811278124459133
"ACHI_S_08",10,3,0.856254012776409
"BEAV_N_01",0,1,NA
"BEAV_N_02",0,2,0.882534664125714
"BEAV_N_03",0,2,0.958240728258841
"BEAV_N_04",0,2,0.721928094887362
"BEAV_N_05",0,2,0.712064054890548
"BEAV_N_06",0,1,NA
"BEAV_N_07",0,1,NA
"BEAV_N_12",0,2,0.545478963031096
"BEAV_N_13",0,2,0.916310806766551
"BEAV_N_14",0,2,0.399129937435664
"BEAV_N_15",0,2,0.95496488613092
"BEAV_S_01",0,3,0.643262868099854
"BEAV_S_02",0,2,0.966870164563014
"BEAV_S_03",0,2,0.837028113013875
"BEAV_S_04",0,2,0.312733376396643
"COEU_N_02",7,2,0.543564443199596
"COEU_N_06",0,1,NA
"COEU_N_09",0,1,NA
"COEU_N_11",0,1,NA
"COEU_N_14",0,1,NA
"COEU_S_02",0,1,NA
"COEU_S_03",0,2,0.99872614943083
"COEU_S_04",1,1,NA
"COEU_S_05",1,2,0.721928094887362
"COEU_S_06",0,2,0.721928094887362
"CORN_N_01",1,3,0.729846699162098
"CORN_N_09",1,1,NA
"CORN_N_11",0,1,NA
"CORN_S_01",0,1,NA
"CORN_S_02",1,2,0.918295834054489
"CORN_S_03",0,1,NA
"CORN_S_04",0,1,NA
"CORR_N_01",0,2,0.811278124459133
"CORR_N_02",0,4,0.918295834054489
"CORR_N_03",0,3,0.991008542931581
"CORR_N_04",0,2,0.430551867010439
"CORR_N_06",0,3,0.920619835714305
"CORR_N_08",0,3,0.680345483920111
"CORR_N_09",0,2,0.322756958897398
"CORR_N_10",0,2,0.962900414771327
"CORR_N_11",0,2,0.439496986921513
"CORR_N_12",0,2,0.970950594454669
"CORR_N_13",0,2,0.998000883872299
"CORR_N_14",0,3,0.540982091757367
"CORR_N_15",0,4,0.402020591788948
"CORR_S_01",0,3,0.0958667658531774
"CORR_S_02",0,4,0.723219672335508
"CORR_S_03",0,2,0.503258334775646
"CORR_S_04",0,3,0.397860629671952
"CROC_N_01",0,2,0.721928094887362
"CROC_N_02",0,3,0.626576299653254
"CROC_N_03",0,1,NA
"CROC_N_04",0,1,NA
"CROC_N_05",0,2,0.222284830685688
"CROC_N_07",0,3,0.571361947860734
"CROC_N_09",0,1,NA
