N,inf.F.all,inf.MT.all,inf.S.all,inf.T.all,tot.F.all,tot.MT.all,tot.S.all,tot.T.all,prev.F.all,prev.MT.all,prev.S.all,prev.T.all
1,19,0,1,2,0,7,0,539,1,0,1,0.5517241379310345
1,5,0,6,1,4,2,49,24,0.013888888888888888,0,0.07017543859649122,0.5573770491803278
1,2,0,66,0,6,0,0,0,0.9411764705882353,0.5,0.25,0.3701657458563536
1,8,8,0,129,0,0,23,43,0.03571428571428571,0.8333333333333334,0.6666666666666666,0.5573770491803278
1,0,0,0,116,4,34,11,14,0.875,0,1,0.125
1,0,0,2,17,0,0,0,551,0.72,1,0.5555555555555556,0.8095238095238095
1,1,0,2,192,4,0,3,102,1,0,0.6666666666666666,0.043227665706051875
1,0,1,0,68,2,196,4,420,1,0.03571428571428571,0.016853932584269662,0.8095238095238095
1,1,2,5,205,0,0,11,420,0,0,0.72,0.6455399061032864
1,1,1,0,33,11,4,119,311,1,1,0.2542372881355932,0.7674418604651163
1,0,4,20,7,0,0,19,198,0,0,0.5555555555555556,0.9508196721311475
1,21,0,11,304,4,0,11,388,0,1,1,0
1,0,0,4,304,21,6,25,61,1,1,0.04081632653061224,0.07474226804123711
1,0,0,2,3,0,0,2,102,0.31666666666666665,0,0.7368421052631579,0.2583518930957684
1,19,0,2,192,0,2,0,86,0,1,0.6666666666666666,0.5517241379310345
1,0,0,17,16,8,14,4,24,0,1,0.5652173913043478,0.2583518930957684
1,0,0,6,30,1,28,8,177,0.5,0,1,0.654320987654321
1,1,0,0,1,139,11,59,539,0.16666666666666666,0,0.7241379310344828,0.9047619047619048
1,16,0,1,3,26,0,0,144,0,0,0.31666666666666665,0
1,0,4,1,2,0,4,4,86,1,0.02158273381294964,1,0.7167832167832168
1,0,2,0,72,4,0,356,0,1,0,0.09090909090909091,0.07142857142857142
1,0,0,13,17,0,0,1,218,1,1,0.5652173913043478,0.7352941176470589
1,0,10,1,116,0,0,2,21,0.007462686567164179,1,0.88,0.1394422310756972
1,22,2,15,72,3,0,52,14,0.08333333333333333,0.5714285714285714,0.6923076923076923,0.5573770491803278
1,0,0,5,58,1,2,49,347,0.0273224043715847,1,0.8666666666666667,0.3701657458563536
1,0,0,0,30,0,7,0,286,0.3333333333333333,1,0.15151515151515152,0.7083333333333334
1,0,4,20,192,0,0,4,347,0.08333333333333333,0,0.00398406374501992,0.5573770491803278
1,0,0,1,30,0,0,119,551,0.7272727272727273,0,0.5555555555555556,0.8095238095238095
1,5,0,5,53,1,6,9,347,0,1,0,0.6515151515151515
1,0,16,1,72,3,0,57,181,0.5714285714285714,0,0,0.125
1,0,10,20,3,0,18,119,0,0.07017543859649122,1,0.5434782608695652,0.030952380952380953
1,6,0,2,0,268,0,25,311,0,1,0.007462686567164179,0.07142857142857142
1,17,0,0,192,42,0,13,0,0.5434782608695652,0.9411764705882353,0.8666666666666667,0.654320987654321
1,3,0,6,205,196,0,4,420,1,1,0.04081632653061224,0.3333333333333333
1,0,10,5,17,12,7,21,2,0.875,1,0.00398406374501992,0.22857142857142856
1,0,1,5,2,57,0,52,47,0,0.13333333333333333,0,0
1,1,0,5,0,9,1,25,144,0.07692307692307693,0,0.7368421052631579,0
1,0,0,6,2,0,3,28,177,0,0.6666666666666666,0.875,0.6455399061032864
1,3,1,1,114,0,15,0,286,0.5454545454545454,1,0.6923076923076923,0.2583518930957684
1,0,0,2,7,0,173,29,181,0.08333333333333333,0,0,0.07474226804123711
1,0,1,19,0,15,0,9,86,0.68,0,0.6666666666666666,0.5573770491803278
1,0,0,14,192,4,15,356,24,0.014084507042253521,0.5714285714285714,0.6111111111111112,0.07142857142857142
1,8,9,2,30,0,0,20,9,0.6666666666666666,1,0,0.3333333333333333
1,0,1,5,4,0,1,0,141,0.9090909090909091,0.2,0.6666666666666666,1
1,1,0,3,30,28,5,8,141,0.6666666666666666,1,0.8571428571428571,0.07142857142857142
1,14,1,2,2,25,1,9,102,0,0.68,0.5,0.3701657458563536
1,2,1,5,0,4,9,0,286,0.16666666666666666,0,0.07692307692307693,0.08139534883720931
1,0,0,0,15,0,0,60,102,0.007462686567164179,1,0.09090909090909091,0.4358974358974359
1,1,1,0,129,4,0,13,141,1,0.2857142857142857,0.007462686567164179,0.5573770491803278
1,0,0,2,0,0,0,3,86,0,1,0.07017543859649122,0.5
1,21,0,2,35,0,0,49,47,0,0.875,1,0.043227665706051875
1,0,0,14,4,26,0,15,144,0.12280701754385964,0.005917159763313609,0.875,0.3333333333333333
1,0,13,5,17,29,0,25,294,0,1,0,0.043227665706051875
1,0,2,6,29,0,15,6,86,0.07017543859649122,0.6666666666666666,0,0.5517241379310345
1,0,0,0,2,5,0,42,177,1,0,0.5,0.7352941176470589
1,0,0,0,35,3,0,60,0,0.007462686567164179,0,0.12280701754385964,0.07142857142857142
1,18,0,0,16,4,1,0,251,1,0,0.07692307692307693,1
